รหัสวิชา,ชื่อวิชา,หน่วยกิต,คณะต้นสังกัด,กลุ่มสาระ - 64,สมรรถนะ - 67
01175163," กอล์ฟเพื่อสุขภาพ
 (Golf for Health)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175164," จักรยานเพื่อสุขภาพ
 (Cycling for Health)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175165," การฝึกด้วยน้ำหนักเพื่อสุขภาพ
 (Weight Training for Health)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175166," ศิลปะการป้องกันตัวและการต่อสู้ด้วยเทควันโด
 (Martial Art with Taekwondo)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175167," โยคะเพื่อสุขภาพ
 (Yoga for Health)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175168," การวิ่งเหยาะเพื่อสุขภาพ
 (Jogging for Health)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175169," การออกกำลังกายเพื่อพัฒนาสุขภาพแบบองค์รวม
 (Exercise for developing Holistic Health)",2(1-2-3),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01176141," การวางแผนชีวิตและอาชีพสำหรับคนรุ่นใหม่
 (Life and Career Planning for the New Generation)",2(2-0-4),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
3 - การเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
 7- ด้านการเรียนรู้ตลอดชีวิต"
01176181," ความเป็นผู้ประกอบการทางสังคมอย่างยั่งยืน
 (Sustainable Social Entrepreneurship)",3(3-0-6),คณะศึกษาศาสตร์,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง"
01177141," การแสวงหาความรู้
 (Knowledge Acquisition)",3(3-0-6),คณะศึกษาศาสตร์,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01177142," สุนทรียะในการเรียนรู้ตลอดชีวิต
 (Aesthetics in Lifelong Learning)",3(3-0-6),คณะศึกษาศาสตร์,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
